question_id,2016,2017,2018,2019,2020,2021,2023,2025
accom1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom10_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom10_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom10_3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom10_4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom10_5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom10_6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom11_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom11_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom11_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom11_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom11_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom11_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom11_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom11_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom12_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom12_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom12_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom12_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom12_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom12_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom12_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom12_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom13_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom13_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom16_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom16_10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom16_12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom16_15_other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom16_2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom16_3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom16_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom16_9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom17_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom17_10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom17_16_other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom17_2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom17_3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom17_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom17_9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom18_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom18_10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom18_12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom18_16_other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom18_2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom18_3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom18_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accom18_9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
accom19a,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
accom19b,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
accom1a,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
accom2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom2a,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom2b,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom2c,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom2d,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom2e,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
accom3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom4a1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
accom4a2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom4a3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
accom5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom6_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom6_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom6_3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
accom6_4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
accom6_5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
accom7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom8_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom8_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom8_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom8_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom8_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accom9_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9_3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9_4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9_5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9_6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9_6_other,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9_7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9_8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a1_1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
accom9a1_2,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
accom9a1_3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
accom9a1_4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
accom9a1_5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a1_6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a1_7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a1_7_extension,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a1_8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a1_8_other,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a2_1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom9a2_2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom9a2_3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom9a2_4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom9a2_5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a2_6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a2_7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9a2_8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_7_extension,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9b_8_other,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9c1_1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom9c1_2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom9c1_3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom9c1_4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
accom9c1_5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9c1_6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9c1_7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9c1_8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
accom9c2_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
